movieId,title,genres,imdbId,tmdbId,g2,overview,poster_path,tagline
11,"American President, The (1995)","Comedy,Drama,Romance",112346,9087,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/lymPNGLZgPHuqM29rKMGV46ANij.jpg,Why can't the most powerful man in the world have the one thing he wants most?
12,Dracula: Dead and Loving It (1995),"Comedy,Horror",112896,12110,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,
13,Balto (1995),"Adventure,Animation,Children",112453,21032,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Part Dog. Part Wolf. All Hero.
14,Nixon (1995),Drama,113987,10858,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
15,Cutthroat Island (1995),"Action,Adventure,Romance",112760,1408,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
16,Casino (1995),"Crime,Drama",112641,524,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,No one stays at the top forever.
17,Sense and Sensibility (1995),"Drama,Romance",114388,4584,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Lose your heart and come to your senses.
18,Four Rooms (1995),Comedy,113101,5,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,New animals. New adventures. Same hair.
20,Money Train (1995),"Action,Comedy,Crime,Drama,Thriller",113845,11517,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,"Get on, or GET OUT THE WAY!"
21,Get Shorty (1995),"Comedy,Crime,Thriller",113161,8012,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"The mob is tough, but it’s nothing like show business."
22,Copycat (1995),"Crime,Drama,Horror,Mystery,Thriller",112722,1710,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
23,Assassins (1995),"Action,Crime,Thriller",112401,9691,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,"In the shadows of life, In the business of death, One man found a reason to live..."
24,Powder (1995),"Drama,Sci-Fi",114168,12665,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,An extraordinary encounter with another human being.
25,Leaving Las Vegas (1995),"Drama,Romance",113627,451,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,I Love You... The Way You Are.
26,Othello (1995),Drama,114057,16420,"[{'id': 18, 'name': 'Drama'}]",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,"Envy, greed, jealousy and love."
27,Now and Then (1995),"Children,Drama",114011,9263,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,In every woman there is the girl she left behind.
28,Persuasion (1995),"Drama,Romance",114117,17015,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",/si8911IezMvAnQFDvyg1nKzDlD.jpg,
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure,Drama,Fantasy,Mystery,Sci-Fi",112682,902,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,Where happily ever after is just a dream.
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Crime,Drama",115012,37557,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,In 1930's Shanghai violence was not the problem. It was the solution.
31,Dangerous Minds (1995),Drama,112792,9909,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,She broke the rules... and changed their lives.
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Mystery,Sci-Fi,Thriller",114746,63,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,The future is history.
33,Babe (1995),"Children,Drama",112431,9598,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,A little pig goes a long way.
34,Dead Man Walking (1995),"Crime,Drama",112818,687,"[{'id': 18, 'name': 'Drama'}]",A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,
35,It Takes Two (1995),"Children,Comedy",113442,33689,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,Two identical strangers. Two different worlds. One perfect match.
36,Clueless (1995),"Comedy,Romance",112697,9603,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,Sex. Clothes. Popularity. Is there a problem here?
37,"Cry, the Beloved Country (1995)",Drama,112749,34615,"[{'id': 18, 'name': 'Drama'}]",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,
38,Richard III (1995),"Drama,War",114279,31174,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",Shakespeare's Play transplanted into a 1930s setting.,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,"I can smile, and murder while I smile"
39,Dead Presidents (1995),"Action,Crime,Drama",112819,11443,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,"In this daring heist, the only color that counts is green"
40,Restoration (1995),Drama,114272,35196,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,
41,Mortal Kombat (1995),"Action,Adventure,Fantasy",113855,9312,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,Nothing In This World Has Prepared You For This.
42,To Die For (1995),"Comedy,Drama,Thriller",114681,577,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",/zCREx8trzejNieDLUsRuwLU0cS3.jpg,All she wanted was a little attention.
43,How to Make an American Quilt (1995),"Drama,Romance",113347,11861,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,There's beauty in the patterns of life.
44,Seven (a.k.a. Se7en) (1995),"Mystery,Thriller",114369,807,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,Seven deadly sins. Seven ways to die.
45,Pocahontas (1995),"Animation,Children,Drama,Musical,Romance",114148,10530,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,An American legend comes to life.
46,When Night Is Falling (1995),"Drama,Romance",114916,8391,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,
47,"Usual Suspects, The (1995)","Crime,Mystery,Thriller",114814,629,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,Five Criminals. One Line Up. No Coincidence.
48,Mighty Aphrodite (1995),"Comedy,Drama,Romance",113819,11448,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,
50,"Big Green, The (1995)","Children,Comedy",112499,26441,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,The biggest kick of the year!
51,Georgia (1995),Drama,113158,97406,"[{'id': 18, 'name': 'Drama'}]","Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,The toughest act to follow was their dreams.
52,Home for the Holidays (1995),Drama,113321,9089,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,We'll do it every year..until we get it right
54,"Indian in the Cupboard, The (1995)","Adventure,Children,Fantasy",113419,11359,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,
55,Eye for an Eye (1996),"Drama,Thriller",116260,17182,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,What do you do when justice fails?
56,Mr. Holland's Opus (1995),Drama,113862,2054,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
57,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"Comedy,Crime",116126,10607,"[{'id': 35, 'name': 'Comedy'}]","When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
58,Two if by Sea (1996),"Comedy,Romance",118002,19760,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg,"A new comedy about love, laughter, and larceny"
59,Bio-Dome (1996),Comedy,115683,9536,"[{'id': 35, 'name': 'Comedy'}]","Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
60,Lawnmower Man 2: Beyond Cyberspace (1996),"Action,Sci-Fi,Thriller",116839,11525,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,"God made him simple. Science made him a god. Now, he wants revenge."
61,French Twist (Gazon maudit) (1995),"Comedy,Romance",113149,4482,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,
